X,Y,Region
50.416046626850644,159.30223671513244,inner_1
50.5525639339311,72.22398070774281,inner_1
67.51782297072353,109.3066156515306,inner_1
86.72089782950437,177.64122886609107,inner_1
86.22772026405609,139.0946533525302,inner_1
50.57719841741419,40.59316006040645,inner_1
52.2118829552779,134.51924582035778,inner_1
76.14191128220648,165.42786520134533,inner_1
75.12166895743277,83.2525025982485,inner_1
72.60725544464125,150.8258937039666,inner_1
50.21682355487822,88.67090561306827,inner_1
75.84562062337599,68.2500455246299,inner_1
63.876268981469224,31.04860168602812,inner_1
85.33131486300533,110.44257044208649,inner_1
61.73491756823357,95.32802565277042,inner_1
70.132832888839,136.08394398572986,inner_1
87.2666164334953,154.7660595023591,inner_1
51.25020841698166,106.04553685457111,inner_1
61.36703451742419,178.4444117829999,inner_1
86.45797963032626,123.98589120473747,inner_1
75.83409925064606,53.1887216576967,inner_1
69.70711374370859,122.42767698125282,inner_1
50.86943025820574,56.156300678000434,inner_1
58.54250889798254,146.36925144597515,inner_1
76.2410407176647,96.83397244946903,inner_1
52.54640729677119,121.03250116699607,inner_1
64.27571879405895,45.558810962826854,inner_1
62.64183465475844,61.77151674372613,inner_1
62.7701749638118,163.80529742837,inner_1
41.236227213176335,147.85036495555576,inner_1
73.30824505941759,179.2220723202738,inner_1
62.34101869087133,78.38743389068114,inner_1
86.76830328512686,189.02894692863413,inner_1
163.91176301458472,125.05137722637741,inner_2
141.16661559559586,63.62596822901602,inner_2
138.80688710885187,137.04787978334468,inner_2
128.86316931768496,112.51507581564132,inner_2
146.26347851104885,89.47118738178476,inner_2
166.5291983573092,34.81909902851777,inner_2
140.6542848175352,179.63134409299954,inner_2
167.04188584634363,81.18101354336876,inner_2
154.56953054287163,40.65435973109983,inner_2
153.88895581904035,147.98589203411368,inner_2
153.64162203492316,100.59820920368686,inner_2
129.77055408904332,54.240742067651105,inner_2
155.6187793759418,63.013021570999506,inner_2
139.77480860037005,151.05472730251748,inner_2
165.46201264048827,94.13640073699666,inner_2
140.43836498676268,121.62890287527593,inner_2
128.64921853727816,75.51808330025284,inner_2
130.1231738243817,41.69073566557597,inner_2
140.08877767168815,104.90175079570896,inner_2
165.74245924833028,51.603174234810524,inner_2
176.28869927970845,120.4597891918107,inner_2
141.16622810910414,76.98160393674547,inner_2
155.51414845284881,162.95592046777384,inner_2
152.14743175879755,114.95078339332518,inner_2
151.96433941055486,132.18433330390388,inner_2
140.81335728415644,165.5480540129784,inner_2
130.24837208264665,92.98319322287074,inner_2
165.6986836541991,109.41467757846685,inner_2
155.68185068780159,77.6853994769225,inner_2
127.99564659462916,129.8476627082881,inner_2
145.70190544322372,50.045024991056714,inner_2
166.20479473155567,139.7914603284895,inner_2
140.89504426141266,33.517178799039485,inner_2
152.9482402052114,25.146397365321192,inner_2
210.8202728009693,86.01887800650347,inner_3
230.94820209783472,131.50702644809192,inner_3
216.26112040935672,53.18832419490856,inner_3
222.18074087710528,96.10897714154154,inner_3
234.39117107118153,87.58805653028637,inner_3
224.51383511574863,148.3841672722191,inner_3
233.45646859039607,104.00614251375086,inner_3
223.85194941742648,79.43069856639207,inner_3
232.8912514419287,118.46666169226135,inner_3
217.3218844371448,127.95257989037869,inner_3
215.84750278137764,69.30798006171264,inner_3
209.3755369498451,102.41338100070713,inner_3
224.99837861184466,62.78447474260714,inner_3
218.83778409025803,112.73751379542578,inner_3
